Charge,Start,Result,SSE_FAIL,SST_FAIL
0.000000000000000000e+00,1.000000000000000000e+00,0.000000000000000000e+00,2.000000000000000000e+01,0.000000000000000000e+00
5.000000000000000000e-01,1.000000000000000000e+00,0.000000000000000000e+00,2.000000000000000000e+01,0.000000000000000000e+00
1.000000000000000000e+00,1.000000000000000000e+00,0.000000000000000000e+00,2.000000000000000000e+01,0.000000000000000000e+00
1.500000000000000000e+00,1.000000000000000000e+00,0.000000000000000000e+00,2.000000000000000000e+01,0.000000000000000000e+00
2.000000000000000000e+00,1.000000000000000000e+00,0.000000000000000000e+00,2.000000000000000000e+01,0.000000000000000000e+00
2.500000000000000000e+00,1.000000000000000000e+00,0.000000000000000000e+00,2.000000000000000000e+01,1.666666666666666574e-01
3.000000000000000000e+00,1.000000000000000000e+00,0.000000000000000000e+00,2.000000000000000000e+01,5.000000000000000000e-01
3.500000000000000000e+00,1.000000000000000000e+00,0.000000000000000000e+00,2.000000000000000000e+01,3.333333333333333148e-01
4.000000000000000000e+00,1.000000000000000000e+00,0.000000000000000000e+00,2.000000000000000000e+01,8.333333333333332593e-01
4.500000000000000000e+00,1.000000000000000000e+00,0.000000000000000000e+00,2.000000000000000000e+01,1.333333333333333259e+00
5.000000000000000000e+00,1.000000000000000000e+00,0.000000000000000000e+00,2.000000000000000000e+01,1.333333333333333259e+00
5.500000000000000000e+00,1.000000000000000000e+00,0.000000000000000000e+00,2.000000000000000000e+01,1.833333333333333481e+00
6.000000000000000000e+00,1.000000000000000000e+00,0.000000000000000000e+00,2.000000000000000000e+01,1.833333333333333481e+00
6.500000000000000000e+00,1.000000000000000000e+00,0.000000000000000000e+00,2.000000000000000000e+01,2.166666666666666519e+00
7.000000000000000000e+00,1.000000000000000000e+00,0.000000000000000000e+00,2.000000000000000000e+01,1.833333333333333481e+00
7.500000000000000000e+00,1.000000000000000000e+00,0.000000000000000000e+00,2.000000000000000000e+01,2.666666666666666075e+00
8.000000000000000000e+00,1.000000000000000000e+00,0.000000000000000000e+00,2.000000000000000000e+01,3.333333333333332149e+00
8.500000000000000000e+00,1.000000000000000000e+00,0.000000000000000000e+00,2.000000000000000000e+01,3.499999999999999112e+00
9.000000000000000000e+00,1.000000000000000000e+00,0.000000000000000000e+00,2.000000000000000000e+01,3.499999999999998668e+00
9.500000000000000000e+00,1.000000000000000000e+00,0.000000000000000000e+00,2.000000000000000000e+01,3.999999999999999556e+00
1.000000000000000000e+01,1.000000000000000000e+00,0.000000000000000000e+00,2.000000000000000000e+01,3.499999999999999112e+00
1.050000000000000000e+01,1.000000000000000000e+00,0.000000000000000000e+00,2.000000000000000000e+01,4.166666666666665186e+00
1.100000000000000000e+01,1.000000000000000000e+00,0.000000000000000000e+00,2.000000000000000000e+01,4.916666666666666075e+00
1.150000000000000000e+01,1.000000000000000000e+00,0.000000000000000000e+00,2.000000000000000000e+01,4.416666666666666075e+00
1.200000000000000000e+01,1.000000000000000000e+00,0.000000000000000000e+00,2.000000000000000000e+01,5.333333333333333925e+00
1.250000000000000000e+01,1.000000000000000000e+00,0.000000000000000000e+00,2.000000000000000000e+01,4.666666666666666963e+00
1.300000000000000000e+01,1.000000000000000000e+00,0.000000000000000000e+00,2.000000000000000000e+01,4.083333333333333037e+00
1.350000000000000000e+01,1.000000000000000000e+00,0.000000000000000000e+00,2.000000000000000000e+01,5.166666666666666963e+00
1.400000000000000000e+01,1.000000000000000000e+00,0.000000000000000000e+00,1.900000000000000000e+01,6.083333333333333037e+00
1.450000000000000000e+01,1.000000000000000000e+00,0.000000000000000000e+00,2.000000000000000000e+01,6.250000000000000000e+00
1.500000000000000000e+01,1.000000000000000000e+00,0.000000000000000000e+00,2.000000000000000000e+01,5.000000000000000000e+00
1.550000000000000000e+01,1.000000000000000000e+00,0.000000000000000000e+00,1.983333333333333570e+01,4.500000000000000000e+00
1.600000000000000000e+01,1.000000000000000000e+00,0.000000000000000000e+00,2.000000000000000000e+01,7.333333333333333925e+00
1.650000000000000000e+01,1.000000000000000000e+00,0.000000000000000000e+00,1.875000000000000000e+01,6.750000000000000000e+00
1.700000000000000000e+01,1.000000000000000000e+00,0.000000000000000000e+00,1.900000000000000000e+01,7.583333333333333037e+00
1.750000000000000000e+01,1.000000000000000000e+00,0.000000000000000000e+00,1.800000000000000000e+01,7.166666666666666963e+00
1.800000000000000000e+01,1.000000000000000000e+00,0.000000000000000000e+00,1.800000000000000000e+01,6.916666666666666963e+00
1.850000000000000000e+01,1.000000000000000000e+00,0.000000000000000000e+00,1.900000000000000000e+01,7.750000000000000000e+00
1.900000000000000000e+01,1.000000000000000000e+00,0.000000000000000000e+00,1.883333333333333215e+01,5.999999999999999112e+00
1.950000000000000000e+01,1.000000000000000000e+00,0.000000000000000000e+00,1.900000000000000000e+01,7.833333333333333037e+00
2.000000000000000000e+01,1.000000000000000000e+00,0.000000000000000000e+00,1.700000000000000000e+01,1.016666666666666607e+01
2.050000000000000000e+01,1.000000000000000000e+00,0.000000000000000000e+00,1.600000000000000000e+01,8.416666666666667851e+00
2.100000000000000000e+01,1.000000000000000000e+00,0.000000000000000000e+00,1.700000000000000000e+01,9.166666666666667851e+00
2.150000000000000000e+01,1.000000000000000000e+00,0.000000000000000000e+00,1.800000000000000000e+01,1.125000000000000000e+01
2.200000000000000000e+01,1.000000000000000000e+00,0.000000000000000000e+00,1.300000000000000000e+01,1.166666666666666607e+01
